c at_least_1_color
1 2 3 4 5 6 0
7 8 9 10 11 12 0
13 14 15 16 17 18 0
19 20 21 22 23 24 0
25 26 27 28 29 30 0
31 32 33 34 35 36 0
37 38 39 40 41 42 0
43 44 45 46 47 48 0
49 50 51 52 53 54 0
c at_most_1_color
-15 -12 402 0
-15 12 -402 0
-16 -7 403 0
-16 7 -403 0
-16 -8 404 0
-16 8 -404 0
-16 -9 405 0
-16 9 -405 0
-16 -10 406 0
-16 10 -406 0
-16 -11 407 0
-16 11 -407 0
-16 -12 408 0
-16 12 -408 0
-17 -7 409 0
-17 7 -409 0
-17 -8 410 0
-17 8 -410 0
-17 -9 411 0
-17 9 -411 0
-17 -10 412 0
-17 10 -412 0
-17 -11 413 0
-17 11 -413 0
-17 -12 414 0
-17 12 -414 0
-18 -7 415 0
-18 7 -415 0
-18 -8 416 0
-18 8 -416 0
-18 -9 417 0
-18 9 -417 0
-18 -10 418 0
-18 10 -418 0
-18 -11 419 0
-18 11 -419 0
-18 -12 420 0
-18 12 -420 0
-13 -7 349 0
-13 7 -349 0
-13 -8 350 0
-13 8 -350 0
-13 -9 351 0
-13 9 -351 0
-13 -10 352 0
-13 10 -352 0
-13 -11 353 0
-13 11 -353 0
-13 -12 354 0
-13 12 -354 0
-14 -7 355 0
-14 7 -355 0
-14 -8 356 0
-14 8 -356 0
-14 -9 357 0
-14 9 -357 0
-14 -10 358 0
-14 10 -358 0
-14 -11 359 0
-14 11 -359 0
-14 -12 360 0
-14 12 -360 0
-15 -7 361 0
-15 7 -361 0
-15 -8 362 0
-15 8 -362 0
-15 -9 363 0
-15 9 -363 0
-15 -10 364 0
-15 10 -364 0
-15 -11 365 0
-15 11 -365 0
-15 -12 366 0
-15 12 -366 0
-16 -7 367 0
-16 7 -367 0
-16 -8 368 0
-16 8 -368 0
-16 -9 369 0
-16 9 -369 0
-16 -10 370 0
-16 10 -370 0
-16 -11 371 0
-16 11 -371 0
-16 -12 372 0
-16 12 -372 0
-17 -7 373 0
-17 7 -373 0
-17 -8 374 0
-17 8 -374 0
-17 -9 375 0
-17 9 -375 0
-17 -10 376 0
-17 10 -376 0
-17 -11 377 0
-17 11 -377 0
-17 -12 378 0
-17 12 -378 0
-18 -7 379 0
-18 7 -379 0
-18 -8 380 0
-18 8 -380 0
-18 -9 381 0
-18 9 -381 0
-18 -10 382 0
-18 10 -382 0
-18 -11 383 0
-18 11 -383 0
-18 -12 384 0
-18 12 -384 0
-13 -7 241 0
-13 7 -241 0
-13 -8 242 0
-13 8 -242 0
-13 -9 243 0
-13 9 -243 0
-13 -10 244 0
-13 10 -244 0
-13 -11 245 0
-13 11 -245 0
-13 -12 246 0
-13 12 -246 0
-14 -7 247 0
-14 7 -247 0
-14 -8 248 0
-14 8 -248 0
-14 -9 249 0
-14 9 -249 0
-14 -10 250 0
-14 10 -250 0
-14 -11 251 0
-14 11 -251 0
-14 -12 252 0
-14 12 -252 0
-15 -7 253 0
-15 7 -253 0
-15 -8 254 0
-15 8 -254 0
-15 -9 255 0
-15 9 -255 0
-15 -10 256 0
-15 10 -256 0
-15 -11 257 0
-15 11 -257 0
-15 -12 258 0
-15 12 -258 0
-16 -7 259 0
-16 7 -259 0
-16 -8 260 0
-16 8 -260 0
-16 -9 261 0
-16 9 -261 0
-16 -10 262 0
-16 10 -262 0
-16 -11 263 0
-16 11 -263 0
-16 -12 264 0
-16 12 -264 0
-17 -7 265 0
-17 7 -265 0
-17 -8 266 0
-17 8 -266 0
-17 -9 267 0
-17 9 -267 0
-17 -10 268 0
-17 10 -268 0
-17 -11 269 0
-17 11 -269 0
-17 -12 270 0
-17 12 -270 0
-18 -7 271 0
-18 7 -271 0
-18 -8 272 0
-18 8 -272 0
-18 -9 273 0
-18 9 -273 0
-18 -10 274 0
-18 10 -274 0
-18 -11 275 0
-18 11 -275 0
-18 -12 276 0
-18 12 -276 0
-13 -7 61 0
-13 7 -61 0
-13 -8 62 0
-13 8 -62 0
-13 -9 63 0
-13 9 -63 0
-13 -10 64 0
-13 10 -64 0
-13 -11 65 0
-13 11 -65 0
-13 -12 66 0
-13 12 -66 0
-14 -7 67 0
-14 7 -67 0
-14 -8 68 0
-14 8 -68 0
-14 -9 69 0
-14 9 -69 0
-14 -10 70 0
-14 10 -70 0
-14 -11 71 0
-14 11 -71 0
-14 -12 72 0
-14 12 -72 0
-15 -7 73 0
-15 7 -73 0
-15 -8 74 0
-15 8 -74 0
-15 -9 75 0
-15 9 -75 0
-15 -10 76 0
-15 10 -76 0
-15 -11 77 0
-15 11 -77 0
-15 -12 78 0
-15 12 -78 0
-16 -7 79 0
-16 7 -79 0
-16 -8 80 0
-16 8 -80 0
-16 -9 81 0
-16 9 -81 0
-16 -10 82 0
-16 10 -82 0
-16 -11 83 0
-16 11 -83 0
-16 -12 84 0
-16 12 -84 0
-17 -7 85 0
-17 7 -85 0
-17 -8 86 0
-17 8 -86 0
-17 -9 87 0
-17 9 -87 0
-17 -10 88 0
-17 10 -88 0
-17 -11 89 0
-17 11 -89 0
-17 -12 90 0
-17 12 -90 0
-18 -7 91 0
-18 7 -91 0
-18 -8 92 0
-18 8 -92 0
-18 -9 93 0
-18 9 -93 0
-18 -10 94 0
-18 10 -94 0
-18 -11 95 0
-18 11 -95 0
-18 -12 96 0
-18 12 -96 0
-13 -7 457 0
-13 7 -457 0
-13 -8 458 0
-13 8 -458 0
-13 -9 459 0
-13 9 -459 0
-13 -10 460 0
-13 10 -460 0
-13 -11 461 0
-13 11 -461 0
-13 -12 462 0
-13 12 -462 0
-14 -7 463 0
-14 7 -463 0
-14 -8 464 0
-14 8 -464 0
-14 -9 465 0
-14 9 -465 0
-14 -10 466 0
-14 10 -466 0
-14 -11 467 0
-14 11 -467 0
-14 -12 468 0
-14 12 -468 0
-15 -7 469 0
-15 7 -469 0
-15 -8 470 0
-15 8 -470 0
-15 -9 471 0
-15 9 -471 0
-15 -10 472 0
-15 10 -472 0
-15 -11 473 0
-15 11 -473 0
-15 -12 474 0
-15 12 -474 0
-16 -7 475 0
-16 7 -475 0
-16 -8 476 0
-16 8 -476 0
-16 -9 477 0
-16 9 -477 0
-16 -10 478 0
-16 10 -478 0
-16 -11 479 0
-16 11 -479 0
-16 -12 480 0
-16 12 -480 0
-17 -7 481 0
-17 7 -481 0
-17 -8 482 0
-17 8 -482 0
-17 -9 483 0
-17 9 -483 0
-17 -10 484 0
-17 10 -484 0
-17 -11 485 0
-17 11 -485 0
-17 -12 486 0
-17 12 -486 0
-18 -7 487 0
-18 7 -487 0
-18 -8 488 0
-18 8 -488 0
-18 -9 489 0
-18 9 -489 0
-18 -10 490 0
-18 10 -490 0
-18 -11 491 0
-18 11 -491 0
-18 -12 492 0
-18 12 -492 0
-13 -13 97 0
-13 13 -97 0
-13 -14 98 0
-13 14 -98 0
-13 -15 99 0
-13 15 -99 0
-13 -16 100 0
-13 16 -100 0
-13 -17 101 0
-13 17 -101 0
-13 -18 102 0
-13 18 -102 0
-14 -13 103 0
-14 13 -103 0
-14 -14 104 0
-14 14 -104 0
-14 -15 105 0
-14 15 -105 0
-14 -16 106 0
-14 16 -106 0
-14 -17 107 0
-14 17 -107 0
-14 -18 108 0
-14 18 -108 0
-15 -13 109 0
-15 13 -109 0
-15 -14 110 0
-15 14 -110 0
-15 -15 111 0
-15 15 -111 0
-15 -16 112 0
-15 16 -112 0
-15 -17 113 0
-15 17 -113 0
-15 -18 114 0
-15 18 -114 0
-16 -13 115 0
-16 13 -115 0
-16 -14 116 0
-16 14 -116 0
-16 -15 117 0
-16 15 -117 0
-16 -16 118 0
-16 16 -118 0
-16 -17 119 0
-16 17 -119 0
-16 -18 120 0
-16 18 -120 0
-17 -13 121 0
-17 13 -121 0
-17 -14 122 0
-17 14 -122 0
-17 -15 123 0
-17 15 -123 0
-17 -16 124 0
-17 16 -124 0
-17 -17 125 0
-17 17 -125 0
-17 -18 126 0
-17 18 -126 0
-18 -13 127 0
-18 13 -127 0
-18 -14 128 0
-18 14 -128 0
-18 -15 129 0
-18 15 -129 0
-18 -16 130 0
-18 16 -130 0
-18 -17 131 0
-18 17 -131 0
-18 -18 132 0
-18 18 -132 0
-19 -37 385 0
-19 37 -385 0
-19 -38 386 0
-19 38 -386 0
-19 -39 387 0
-19 39 -387 0
-19 -40 388 0
-19 40 -388 0
-19 -41 389 0
-19 41 -389 0
-19 -42 390 0
-19 42 -390 0
-20 -37 391 0
-20 37 -391 0
-20 -38 392 0
-20 38 -392 0
-20 -39 393 0
-20 39 -393 0
-20 -40 394 0
-20 40 -394 0
-20 -41 395 0
-20 41 -395 0
-20 -42 396 0
-20 42 -396 0
-21 -37 397 0
-21 37 -397 0
-21 -38 398 0
-21 38 -398 0
-21 -39 399 0
-21 39 -399 0
-21 -40 400 0
-21 40 -400 0
-21 -41 401 0
-21 41 -401 0
-21 -42 402 0
-21 42 -402 0
-22 -37 403 0
-22 37 -403 0
-22 -38 404 0
-22 38 -404 0
-22 -39 405 0
-22 39 -405 0
-22 -40 406 0
-22 40 -406 0
-22 -41 407 0
-22 41 -407 0
-22 -42 408 0
-22 42 -408 0
-23 -37 409 0
-23 37 -409 0
-23 -38 410 0
-23 38 -410 0
-23 -39 411 0
-23 39 -411 0
-23 -40 412 0
-23 40 -412 0
-23 -41 413 0
-23 41 -413 0
-23 -42 414 0
-23 42 -414 0
-24 -37 415 0
-24 37 -415 0
-24 -38 416 0
-24 38 -416 0
-24 -39 417 0
-24 39 -417 0
-24 -40 418 0
-24 40 -418 0
-24 -41 419 0
-24 41 -419 0
-24 -42 420 0
-24 42 -420 0
-19 -7 241 0
-19 7 -241 0
-19 -8 242 0
-19 8 -242 0
-19 -9 243 0
-19 9 -243 0
-19 -10 244 0
-19 10 -244 0
-19 -11 245 0
-19 11 -245 0
-19 -12 246 0
-19 12 -246 0
-20 -7 247 0
-20 7 -247 0
-20 -8 248 0
-20 8 -248 0
-20 -9 249 0
-20 9 -249 0
-20 -10 250 0
-20 10 -250 0
-20 -11 251 0
-20 11 -251 0
-20 -12 252 0
-20 12 -252 0
-21 -7 253 0
-21 7 -253 0
-21 -8 254 0
-21 8 -254 0
-21 -9 255 0
-21 9 -255 0
-21 -10 256 0
-21 10 -256 0
-21 -11 257 0
-21 11 -257 0
-21 -12 258 0
-21 12 -258 0
-22 -7 259 0
-22 7 -259 0
-22 -8 260 0
-22 8 -260 0
-22 -9 261 0
-22 9 -261 0
-22 -10 262 0
-22 10 -262 0
-22 -11 263 0
-22 11 -263 0
-22 -12 264 0
-22 12 -264 0
-23 -7 265 0
-23 7 -265 0
-23 -8 266 0
-23 8 -266 0
-23 -9 267 0
-23 9 -267 0
-23 -10 268 0
-23 10 -268 0
-23 -11 269 0
-23 11 -269 0
-23 -12 270 0
-23 12 -270 0
-24 -7 271 0
-24 7 -271 0
-24 -8 272 0
-24 8 -272 0
-24 -9 273 0
-24 9 -273 0
-24 -10 274 0
-24 10 -274 0
-24 -11 275 0
-24 11 -275 0
-24 -12 276 0
-24 12 -276 0
-19 -7 457 0
-19 7 -457 0
-19 -8 458 0
-19 8 -458 0
-19 -9 459 0
-19 9 -459 0
-19 -10 460 0
-19 10 -460 0
-19 -11 461 0
-19 11 -461 0
-19 -12 462 0
-19 12 -462 0
-20 -7 463 0
-20 7 -463 0
-20 -8 464 0
-20 8 -464 0
-20 -9 465 0
-20 9 -465 0
-20 -10 466 0
-20 10 -466 0
-20 -11 467 0
-20 11 -467 0
-20 -12 468 0
-20 12 -468 0
-21 -7 469 0
-21 7 -469 0
-21 -8 470 0
-21 8 -470 0
-21 -9 471 0
-21 9 -471 0
-21 -10 472 0
-21 10 -472 0
-21 -11 473 0
-21 11 -473 0
-21 -12 474 0
-21 12 -474 0
-22 -7 475 0
-22 7 -475 0
-22 -8 476 0
-22 8 -476 0
-22 -9 477 0
-22 9 -477 0
-22 -10 478 0
-22 10 -478 0
-22 -11 479 0
-22 11 -479 0
-22 -12 480 0
-22 12 -480 0
-23 -7 481 0
-23 7 -481 0
-23 -8 482 0
-23 8 -482 0
-23 -9 483 0
-23 9 -483 0
-23 -10 484 0
-23 10 -484 0
-23 -11 485 0
-23 11 -485 0
-23 -12 486 0
-23 12 -486 0
-24 -7 487 0
-24 7 -487 0
-24 -8 488 0
-24 8 -488 0
-24 -9 489 0
-24 9 -489 0
-24 -10 490 0
-24 10 -490 0
-24 -11 491 0
-24 11 -491 0
-24 -12 492 0
-24 12 -492 0
-19 -7 349 0
-19 7 -349 0
-19 -8 350 0
-19 8 -350 0
-19 -9 351 0
-19 9 -351 0
-19 -10 352 0
-19 10 -352 0
-19 -11 353 0
-19 11 -353 0
-19 -12 354 0
-19 12 -354 0
-20 -7 355 0
-20 7 -355 0
-20 -8 356 0
-20 8 -356 0
-20 -9 357 0
-20 9 -357 0
-20 -10 358 0
-20 10 -358 0
-20 -11 359 0
-20 11 -359 0
-20 -12 360 0
-20 12 -360 0
-21 -7 361 0
-21 7 -361 0
-21 -8 362 0
-21 8 -362 0
-21 -9 363 0
-21 9 -363 0
-21 -10 364 0
-21 10 -364 0
-21 -11 365 0
-21 11 -365 0
-21 -12 366 0
-21 12 -366 0
-22 -7 367 0
-22 7 -367 0
-22 -8 368 0
-22 8 -368 0
-22 -9 369 0
-22 9 -369 0
-22 -10 370 0
-22 10 -370 0
-22 -11 371 0
-22 11 -371 0
-22 -12 372 0
-22 12 -372 0
-23 -7 373 0
-23 7 -373 0
-23 -8 374 0
-23 8 -374 0
-23 -9 375 0
-23 9 -375 0
-23 -10 376 0
-23 10 -376 0
-23 -11 377 0
-23 11 -377 0
-23 -12 378 0
-23 12 -378 0
-24 -7 379 0
-24 7 -379 0
-24 -8 380 0
-24 8 -380 0
-24 -9 381 0
-24 9 -381 0
-24 -10 382 0
-24 10 -382 0
-24 -11 383 0
-24 11 -383 0
-24 -12 384 0
-24 12 -384 0
-19 -1 277 0
-19 1 -277 0
-19 -2 278 0
-19 2 -278 0
-19 -3 279 0
-19 3 -279 0
-19 -4 280 0
-19 4 -280 0
-19 -5 281 0
-19 5 -281 0
-19 -6 282 0
-19 6 -282 0
-20 -1 283 0
-20 1 -283 0
-20 -2 284 0
-20 2 -284 0
-20 -3 285 0
-20 3 -285 0
-20 -4 286 0
-20 4 -286 0
-20 -5 287 0
-20 5 -287 0
-20 -6 288 0
-20 6 -288 0
-21 -1 289 0
-21 1 -289 0
-21 -2 290 0
-21 2 -290 0
-21 -3 291 0
-21 3 -291 0
-21 -4 292 0
-21 4 -292 0
-21 -5 293 0
-21 5 -293 0
-21 -6 294 0
-21 6 -294 0
-22 -1 295 0
-22 1 -295 0
-22 -2 296 0
-22 2 -296 0
-22 -3 297 0
-22 3 -297 0
-22 -4 298 0
-22 4 -298 0
-22 -5 299 0
-22 5 -299 0
-22 -6 300 0
-22 6 -300 0
-23 -1 301 0
-23 1 -301 0
-23 -2 302 0
-23 2 -302 0
-23 -3 303 0
-23 3 -303 0
-23 -4 304 0
-23 4 -304 0
-23 -5 305 0
-23 5 -305 0
-23 -6 306 0
-23 6 -306 0
-24 -1 307 0
-24 1 -307 0
-24 -2 308 0
-24 2 -308 0
-24 -3 309 0
-24 3 -309 0
-24 -4 310 0
-24 4 -310 0
-24 -5 311 0
-24 5 -311 0
-24 -6 312 0
-24 6 -312 0
-19 -1 169 0
-19 1 -169 0
-19 -2 170 0
-19 2 -170 0
-19 -3 171 0
-19 3 -171 0
-19 -4 172 0
-19 4 -172 0
-19 -5 173 0
-19 5 -173 0
-19 -6 174 0
-19 6 -174 0
-20 -1 175 0
-20 1 -175 0
-20 -2 176 0
-20 2 -176 0
-20 -3 177 0
-20 3 -177 0
-20 -4 178 0
-20 4 -178 0
-20 -5 179 0
-20 5 -179 0
-20 -6 180 0
-20 6 -180 0
-21 -1 181 0
-21 1 -181 0
-21 -2 182 0
-21 2 -182 0
-21 -3 183 0
-21 3 -183 0
-21 -4 184 0
-21 4 -184 0
-21 -5 185 0
-21 5 -185 0
-21 -6 186 0
-21 6 -186 0
-22 -1 187 0
-22 1 -187 0
-22 -2 188 0
-22 2 -188 0
-22 -3 189 0
-22 3 -189 0
-22 -4 190 0
-22 4 -190 0
-22 -5 191 0
-22 5 -191 0
-22 -6 192 0
-22 6 -192 0
-23 -1 193 0
-23 1 -193 0
-23 -2 194 0
-23 2 -194 0
-23 -3 195 0
-23 3 -195 0
-23 -4 196 0
-23 4 -196 0
-23 -5 197 0
-23 5 -197 0
-23 -6 198 0
-23 6 -198 0
-24 -1 199 0
-24 1 -199 0
-24 -2 200 0
-24 2 -200 0
-24 -3 201 0
-24 3 -201 0
-24 -4 202 0
-24 4 -202 0
-24 -5 203 0
-24 5 -203 0
-24 -6 204 0
-24 6 -204 0
-19 -13 97 0
-19 13 -97 0
-19 -14 98 0
-19 14 -98 0
-19 -15 99 0
-19 15 -99 0
-19 -16 100 0
-19 16 -100 0
-19 -17 101 0
-19 17 -101 0
-19 -18 102 0
-19 18 -102 0
-20 -13 103 0
-20 13 -103 0
-20 -14 104 0
-20 14 -104 0
-20 -15 105 0
-20 15 -105 0
-20 -16 106 0
-20 16 -106 0
-20 -17 107 0
-20 17 -107 0
-20 -18 108 0
-20 18 -108 0
-21 -13 109 0
-21 13 -109 0
-21 -14 110 0
-21 14 -110 0
-21 -15 111 0
-21 15 -111 0
-21 -16 112 0
-21 16 -112 0
-21 -17 113 0
-21 17 -113 0
-21 -18 114 0
-21 18 -114 0
-22 -13 115 0
-22 13 -115 0
-22 -14 116 0
-22 14 -116 0
-22 -15 117 0
-22 15 -117 0
-22 -16 118 0
-22 16 -118 0
-22 -17 119 0
-22 17 -119 0
-22 -18 120 0
-22 18 -120 0
-23 -13 121 0
-23 13 -121 0
-23 -14 122 0
-23 14 -122 0
-23 -15 123 0
-23 15 -123 0
-23 -16 124 0
-23 16 -124 0
-23 -17 125 0
-23 17 -125 0
-23 -18 126 0
-23 18 -126 0
-24 -13 127 0
-24 13 -127 0
-24 -14 128 0
-24 14 -128 0
-24 -15 129 0
-24 15 -129 0
-24 -16 130 0
-24 16 -130 0
-24 -17 131 0
-24 17 -131 0
-24 -18 132 0
-24 18 -132 0
-25 -7 349 0
-25 7 -349 0
-25 -8 350 0
-25 8 -350 0
-25 -9 351 0
-25 9 -351 0
-25 -10 352 0
-25 10 -352 0
-25 -11 353 0
-25 11 -353 0
-25 -12 354 0
-25 12 -354 0
-26 -7 355 0
-26 7 -355 0
-26 -8 356 0
-26 8 -356 0
-26 -9 357 0
-26 9 -357 0
-26 -10 358 0
-26 10 -358 0
-26 -11 359 0
-26 11 -359 0
-26 -12 360 0
-26 12 -360 0
-27 -7 361 0
-27 7 -361 0
-27 -8 362 0
-27 8 -362 0
-27 -9 363 0
-27 9 -363 0
-27 -10 364 0
-27 10 -364 0
-27 -11 365 0
-27 11 -365 0
-27 -12 366 0
-27 12 -366 0
-28 -7 367 0
-28 7 -367 0
-28 -8 368 0
-28 8 -368 0
-28 -9 369 0
-28 9 -369 0
-28 -10 370 0
-28 10 -370 0
-28 -11 371 0
-28 11 -371 0
-28 -12 372 0
-28 12 -372 0
-29 -7 373 0
-29 7 -373 0
-29 -8 374 0
-29 8 -374 0
-29 -9 375 0
-29 9 -375 0
-29 -10 376 0
-29 10 -376 0
-29 -11 377 0
-29 11 -377 0
-29 -12 378 0
-29 12 -378 0
-30 -7 379 0
-30 7 -379 0
-30 -8 380 0
-30 8 -380 0
-30 -9 381 0
-30 9 -381 0
-30 -10 382 0
-30 10 -382 0
-30 -11 383 0
-30 11 -383 0
-30 -12 384 0
-30 12 -384 0
-25 -7 385 0
-25 7 -385 0
-25 -8 386 0
-25 8 -386 0
-25 -9 387 0
-25 9 -387 0
-25 -10 388 0
-25 10 -388 0
-25 -11 389 0
-25 11 -389 0
-25 -12 390 0
-25 12 -390 0
-26 -7 391 0
-26 7 -391 0
-26 -8 392 0
-26 8 -392 0
-26 -9 393 0
-26 9 -393 0
-26 -10 394 0
-26 10 -394 0
-26 -11 395 0
-26 11 -395 0
-26 -12 396 0
-26 12 -396 0
-27 -7 397 0
-27 7 -397 0
-27 -8 398 0
-27 8 -398 0
-27 -9 399 0
-27 9 -399 0
-27 -10 400 0
-27 10 -400 0
-27 -11 401 0
-27 11 -401 0
-27 -12 402 0
-27 12 -402 0
-28 -7 403 0
-28 7 -403 0
-28 -8 404 0
-28 8 -404 0
-28 -9 405 0
-28 9 -405 0
-28 -10 406 0
-28 10 -406 0
-28 -11 407 0
-28 11 -407 0
-28 -12 408 0
-28 12 -408 0
-29 -7 409 0
-29 7 -409 0
-29 -8 410 0
-29 8 -410 0
-29 -9 411 0
-29 9 -411 0
-29 -10 412 0
-29 10 -412 0
-29 -11 413 0
-29 11 -413 0
-29 -12 414 0
-29 12 -414 0
-30 -7 415 0
-30 7 -415 0
-30 -8 416 0
-30 8 -416 0
-30 -9 417 0
-30 9 -417 0
-30 -10 418 0
-30 10 -418 0
-30 -11 419 0
-30 11 -419 0
-30 -12 420 0
-30 12 -420 0
-25 -7 457 0
-25 7 -457 0
-25 -8 458 0
-25 8 -458 0
-25 -9 459 0
-25 9 -459 0
-25 -10 460 0
-25 10 -460 0
-25 -11 461 0
-25 11 -461 0
-25 -12 462 0
-25 12 -462 0
-26 -7 463 0
-26 7 -463 0
-26 -8 464 0
-26 8 -464 0
-26 -9 465 0
-26 9 -465 0
-26 -10 466 0
-26 10 -466 0
-26 -11 467 0
-26 11 -467 0
-26 -12 468 0
-26 12 -468 0
-27 -7 469 0
-27 7 -469 0
-27 -8 470 0
-27 8 -470 0
-27 -9 471 0
-27 9 -471 0
-27 -10 472 0
-27 10 -472 0
-27 -11 473 0
-27 11 -473 0
-27 -12 474 0
-27 12 -474 0
-28 -7 475 0
-28 7 -475 0
-28 -8 476 0
-28 8 -476 0
-28 -9 477 0
-28 9 -477 0
-28 -10 478 0
-28 10 -478 0
-28 -11 479 0
-28 11 -479 0
-28 -12 480 0
-28 12 -480 0
-29 -7 481 0
-29 7 -481 0
-29 -8 482 0
-29 8 -482 0
-29 -9 483 0
-29 9 -483 0
-29 -10 484 0
-29 10 -484 0
-29 -11 485 0
-29 11 -485 0
-29 -12 486 0
-29 12 -486 0
-30 -7 487 0
-30 7 -487 0
-30 -8 488 0
-30 8 -488 0
-30 -9 489 0
-30 9 -489 0
-30 -10 490 0
-30 10 -490 0
-30 -11 491 0
-30 11 -491 0
-30 -12 492 0
-30 12 -492 0
-25 -7 133 0
-25 7 -133 0
-25 -8 134 0
-25 8 -134 0
-25 -9 135 0
-25 9 -135 0
-25 -10 136 0
-25 10 -136 0
-25 -11 137 0
-25 11 -137 0
-25 -12 138 0
-25 12 -138 0
-26 -7 139 0
-26 7 -139 0
-26 -8 140 0
-26 8 -140 0
-26 -9 141 0
-26 9 -141 0
-26 -10 142 0
-26 10 -142 0
-26 -11 143 0
-26 11 -143 0
-26 -12 144 0
-26 12 -144 0
-27 -7 145 0
-27 7 -145 0
-27 -8 146 0
-27 8 -146 0
-27 -9 147 0
-27 9 -147 0
-27 -10 148 0
-27 10 -148 0
-27 -11 149 0
-27 11 -149 0
-27 -12 150 0
-27 12 -150 0
-28 -7 151 0
-28 7 -151 0
-28 -8 152 0
-28 8 -152 0
-28 -9 153 0
-28 9 -153 0
-28 -10 154 0
-28 10 -154 0
-28 -11 155 0
-28 11 -155 0
-28 -12 156 0
-28 12 -156 0
-29 -7 157 0
-29 7 -157 0
-29 -8 158 0
-29 8 -158 0
-29 -9 159 0
-29 9 -159 0
-29 -10 160 0
-29 10 -160 0
-29 -11 161 0
-29 11 -161 0
-29 -12 162 0
-29 12 -162 0
-30 -7 163 0
-30 7 -163 0
-30 -8 164 0
-30 8 -164 0
-30 -9 165 0
-30 9 -165 0
-30 -10 166 0
-30 10 -166 0
-30 -11 167 0
-30 11 -167 0
-30 -12 168 0
-30 12 -168 0
-25 -25 421 0
-25 25 -421 0
-25 -26 422 0
-25 26 -422 0
-25 -27 423 0
-25 27 -423 0
-25 -28 424 0
-25 28 -424 0
-25 -29 425 0
-25 29 -425 0
-25 -30 426 0
-25 30 -426 0
-26 -25 427 0
-26 25 -427 0
-26 -26 428 0
-26 26 -428 0
-26 -27 429 0
-26 27 -429 0
-26 -28 430 0
-26 28 -430 0
-26 -29 431 0
-26 29 -431 0
-26 -30 432 0
-26 30 -432 0
-27 -25 433 0
-27 25 -433 0
-27 -26 434 0
-27 26 -434 0
-27 -27 435 0
-27 27 -435 0
-27 -28 436 0
-27 28 -436 0
-27 -29 437 0
-27 29 -437 0
-27 -30 438 0
-27 30 -438 0
-28 -25 439 0
-28 25 -439 0
-28 -26 440 0
-28 26 -440 0
-28 -27 441 0
-28 27 -441 0
-28 -28 442 0
-28 28 -442 0
-28 -29 443 0
-28 29 -443 0
-28 -30 444 0
-28 30 -444 0
-29 -25 445 0
-29 25 -445 0
-29 -26 446 0
-29 26 -446 0
-29 -27 447 0
-29 27 -447 0
-29 -28 448 0
-29 28 -448 0
-29 -29 449 0
-29 29 -449 0
-29 -30 450 0
-29 30 -450 0
-30 -25 451 0
-30 25 -451 0
-30 -26 452 0
-30 26 -452 0
-30 -27 453 0
-30 27 -453 0
-30 -28 454 0
-30 28 -454 0
-30 -29 455 0
-30 29 -455 0
-30 -30 456 0
-30 30 -456 0
-31 -7 169 0
-31 7 -169 0
-31 -8 170 0
-31 8 -170 0
-31 -9 171 0
-31 9 -171 0
-31 -10 172 0
-31 10 -172 0
-31 -11 173 0
-31 11 -173 0
-31 -12 174 0
-31 12 -174 0
-32 -7 175 0
-32 7 -175 0
-32 -8 176 0
-32 8 -176 0
-32 -9 177 0
-32 9 -177 0
-32 -10 178 0
-32 10 -178 0
-32 -11 179 0
-32 11 -179 0
-32 -12 180 0
-32 12 -180 0
-33 -7 181 0
-33 7 -181 0
-33 -8 182 0
-33 8 -182 0
-33 -9 183 0
-33 9 -183 0
-33 -10 184 0
-33 10 -184 0
-33 -11 185 0
-33 11 -185 0
-33 -12 186 0
-33 12 -186 0
-34 -7 187 0
-34 7 -187 0
-34 -8 188 0
-34 8 -188 0
-34 -9 189 0
-34 9 -189 0
-34 -10 190 0
-34 10 -190 0
-34 -11 191 0
-34 11 -191 0
-34 -12 192 0
-34 12 -192 0
-35 -7 193 0
-35 7 -193 0
-35 -8 194 0
-35 8 -194 0
-35 -9 195 0
-35 9 -195 0
-35 -10 196 0
-35 10 -196 0
-35 -11 197 0
-35 11 -197 0
-35 -12 198 0
-35 12 -198 0
-36 -7 199 0
-36 7 -199 0
-36 -8 200 0
-36 8 -200 0
-36 -9 201 0
-36 9 -201 0
-36 -10 202 0
-36 10 -202 0
-36 -11 203 0
-36 11 -203 0
-36 -12 204 0
-36 12 -204 0
-31 -7 385 0
-31 7 -385 0
-31 -8 386 0
-31 8 -386 0
-31 -9 387 0
-31 9 -387 0
-31 -10 388 0
-31 10 -388 0
-31 -11 389 0
-31 11 -389 0
-31 -12 390 0
-31 12 -390 0
-32 -7 391 0
-32 7 -391 0
-32 -8 392 0
-32 8 -392 0
-32 -9 393 0
-32 9 -393 0
-32 -10 394 0
-32 10 -394 0
-32 -11 395 0
-32 11 -395 0
-32 -12 396 0
-32 12 -396 0
-33 -7 397 0
-33 7 -397 0
-33 -8 398 0
-33 8 -398 0
-33 -9 399 0
-33 9 -399 0
-33 -10 400 0
-33 10 -400 0
-33 -11 401 0
-33 11 -401 0
-33 -12 402 0
-33 12 -402 0
-34 -7 403 0
-34 7 -403 0
-34 -8 404 0
-34 8 -404 0
-34 -9 405 0
-34 9 -405 0
-34 -10 406 0
-34 10 -406 0
-34 -11 407 0
-34 11 -407 0
-34 -12 408 0
-34 12 -408 0
-35 -7 409 0
-35 7 -409 0
-35 -8 410 0
